[2025-04-22 11:10:41] Monitoring started (Interval: 500ms, Dry-run: No)
[2025-04-22 11:10:41] GC skipped. Mem: 418.52 KB, Peak: 449.2 KB
[2025-04-22 11:10:42] GC skipped. Mem: 418.52 KB, Peak: 449.2 KB
[2025-04-22 11:10:42] GC skipped. Mem: 418.52 KB, Peak: 449.2 KB
[2025-04-22 11:10:43] GC skipped. Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:43] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:44] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:44] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:45] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:45] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:46] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:47] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:47] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:48] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:48] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:49] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:49] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:50] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:50] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:51] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:51] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:52] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:52] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:53] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:53] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:54] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:54] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:55] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:55] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:56] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:56] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:57] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:57] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:58] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:58] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:59] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:10:59] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:00] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:00] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:01] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:01] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:02] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:02] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:03] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:03] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:04] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:04] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:05] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:05] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:06] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:06] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:07] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:07] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:08] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:08] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:09] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:10] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:10] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:11] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:11] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:12] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:12] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:13] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:13] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:14] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:14] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:15] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:15] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:16] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:16] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:17] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:17] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:18] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:18] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:19] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:19] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:20] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:20] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:21] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:21] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:22] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:22] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:23] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:23] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:24] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
[2025-04-22 11:11:24] GC executed (Cycles: 0). Mem: 418.67 KB, Peak: 449.2 KB
