[06:20:23] Starting analysis on sample.php
[06:20:23] Analysis complete.
[07:12:20] Starting analysis on sample.php
[07:12:20] Analysis complete.
2025-04-25 06:45:58 - Write start
2025-04-25 06:46:01 - Write end
2025-04-25 06:46:01 - Read start
2025-04-25 06:46:06 - Write start
2025-04-25 06:46:09 - Write end
2025-04-25 06:46:09 - Read start
2025-04-25 06:46:10 - Read end
2025-04-25 06:46:10 - Write start
2025-04-25 06:46:13 - Write end
2025-04-25 06:46:13 - Read start
2025-04-25 06:46:15 - Read end
2025-04-25 06:46:15 - Read start
2025-04-25 06:48:25 - Read start
2025-04-25 06:48:28 - Read end
2025-04-25 06:48:28 - Read start
2025-04-25 06:48:30 - Read end
2025-04-25 06:48:30 - Write start
2025-04-25 06:48:32 - Write end
2025-04-25 06:48:32 - Read start
2025-04-25 06:48:34 - Read end
2025-04-25 06:48:34 - Read start
2025-04-25 06:48:35 - Read end
2025-04-25 06:48:35 - Read start
2025-04-25 06:48:37 - Read end
2025-04-25 06:48:37 - Read start
2025-04-25 06:48:38 - Read end
2025-04-25 06:48:38 - Read start
2025-04-25 06:48:41 - Read end
2025-04-25 06:48:41 - Write start
2025-04-25 06:48:43 - Write end
2025-04-25 06:48:43 - Read start
2025-04-25 06:48:44 - Read end
2025-04-25 06:49:35 - Read start
2025-04-25 06:49:38 - Read end
2025-04-25 06:49:38 - Read start
2025-04-25 06:49:40 - Read end
2025-04-25 06:49:40 - Write start
2025-04-25 06:49:43 - Write end
2025-04-25 06:49:43 - Read start
2025-04-25 06:49:44 - Read end
2025-04-25 06:49:44 - Read start
2025-04-25 06:49:47 - Read end
2025-04-25 06:49:47 - Write start
2025-04-25 06:49:50 - Write end
2025-04-25 06:49:50 - Write start
2025-04-25 06:49:51 - Write end
2025-04-25 06:49:51 - Write start
2025-04-25 06:49:53 - Write end
2025-04-25 06:49:53 - Write start
2025-04-25 06:49:54 - Write end
2025-04-25 06:49:54 - Write start
2025-04-25 06:49:56 - Write end
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Write start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Write start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Write start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:57 - Read start
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:58 - Read end
2025-04-25 06:50:59 - Write end
2025-04-25 06:50:59 - Write end
2025-04-25 06:50:59 - Write end
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Read start
2025-04-25 06:51:07 - Read start
2025-04-25 06:51:07 - Read start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:07 - Write start
2025-04-25 06:51:09 - Read end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Read end
2025-04-25 06:51:09 - Read end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:09 - Write end
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Write start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Write start
2025-04-25 06:51:11 - Write start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:11 - Read start
2025-04-25 06:51:12 - Write end
2025-04-25 06:51:12 - Write end
2025-04-25 06:51:12 - Write end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:14 - Read end
2025-04-25 06:51:41 - Read start
2025-04-25 06:51:44 - Read end
2025-04-25 06:51:44 - Write start
2025-04-25 06:51:45 - Write end
2025-04-25 06:51:45 - Read start
2025-04-25 06:51:46 - Read end
2025-04-25 06:51:46 - Write start
2025-04-25 06:51:47 - Write end
2025-04-25 06:51:47 - Write start
2025-04-25 06:51:50 - Write end
2025-04-25 06:51:50 - Read start
2025-04-25 06:51:53 - Read end
2025-04-25 06:51:53 - Read start
2025-04-25 06:51:54 - Read end
2025-04-25 06:51:54 - Read start
2025-04-25 06:51:55 - Read end
2025-04-25 06:51:55 - Write start
2025-04-25 06:51:56 - Write end
2025-04-25 06:51:56 - Read start
2025-04-25 06:51:57 - Read end
