2025-04-29 22:55:56 | Memory: 435312 bytes | Delta: 435312 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 216 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435528 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 160 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 435688 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 320 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436008 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 640 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 436648 bytes | Delta: 0 bytes
